법정동,단지명,floor,지번,area,transaction_price,construction_year,deal_year,위도,경도,가장 가까운 학교,school_distance,가장 가까운 역,subway_distance,가장 가까운 마트,mart_distance,construction_company,단지 고유번호,number_of_buildings,total_floors
내수동,경희궁의아침3단지,13,72,123.13,"180,000",2004,2021,37.5735980,126.9720984,서울덕수초등학교,592,경복궁역 3호선,282,서서울농협하나로마트 사직점,223,쌍용,11110100248193,1,16
내수동,경희궁의아침2단지,4,71,174.55,"175,000",2004,2021,37.5739773,126.9713123,서울매동초등학교,558,경복궁역 3호선,292,서서울농협하나로마트 사직점,141,쌍용,11110100248192,1,16
홍파동,경희궁자이(2단지),4,199,84.907,"175,000",2017,2021,37.5708395,126.9635590,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,11110120348218,14,21
무악동,현대,6,82,84.92,"112,400",2000,2021,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,11110100000094,12,13
무악동,현대,1,82,60,"86,500",2000,2021,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,11110100000094,12,13
숭인동,할리우드파크아파트,2,56-135,69.94,"53,000",2014,2021,37.5788621,127.0181190,서울동신초등학교,443,창신역 6호선,256,GS더프레시 성북보문점,184,알 수 없음,11110120286232,1,7
창신동,창신쌍용2,7,703,79.87,"74,000",1993,2021,37.5803309,127.0117946,서일문화예술고등학교,136,창신역 6호선,325,GS더프레시 성북보문점,638,알 수 없음,11110100050202,7,13
인의동,효성쥬얼리시티,9,48-2,84.98,"86,500",2006,2021,37.5714980,126.9986561,서울효제초등학교,431,종로5가역 1호선,261,노브랜드 동대문두타몰점,939,효성건설,11110120056290,1,19
무악동,현대,9,82,84.92,"109,990",2000,2021,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,11110100000094,12,13
숭인동,할리우드파크아파트,4,56-135,75.25,"52,000",2014,2021,37.5788621,127.0181190,서울동신초등학교,443,창신역 6호선,256,GS더프레시 성북보문점,184,알 수 없음,11110120286232,1,7
무악동,인왕산아이파크,13,60,84.858,"130,000",2008,2021,37.5770089,126.9574493,서울독립문초등학교,390,독립문역 3호선,284,GS더프레시 무악현대점,329,HDC현대산업개발,11110120090893,17,15
무악동,인왕산아이파크,13,60,84.858,"144,000",2008,2021,37.5770089,126.9574493,서울독립문초등학교,390,독립문역 3호선,284,GS더프레시 무악현대점,329,HDC현대산업개발,11110120090893,17,15
숭인동,종로센트레빌,8,2-1,59.92,"98,000",2008,2021,37.5809832,127.0159311,서울명신초등학교,165,창신역 6호선,182,GS더프레시 성북보문점,282,동부건설,11110120096301,6,12
홍파동,경희궁자이(2단지),21,199,84.836,"185,000",2017,2021,37.5708395,126.9635590,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,11110120348218,14,21
무악동,인왕산아이파크,2,60,84.858,"120,000",2008,2021,37.5770089,126.9574493,서울독립문초등학교,390,독립문역 3호선,284,GS더프레시 무악현대점,329,HDC현대산업개발,11110120090893,17,15
무악동,경희궁롯데캐슬,1,89,84.8792,"151,000",2019,2021,37.5738242,126.9593223,서울독립문초등학교,99,독립문역 3호선,143,GS더프레시 무악현대점,61,롯데건설,11110120400214,4,15
무악동,현대,10,82,84.92,"124,950",2000,2021,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,11110100000094,12,13
무악동,인왕산아이파크,2,60,84.858,"120,000",2008,2021,37.5770089,126.9574493,서울독립문초등학교,390,독립문역 3호선,284,GS더프레시 무악현대점,329,HDC현대산업개발,11110120090893,17,15
무악동,인왕산아이파크,11,60,114.931,"140,000",2008,2021,37.5770089,126.9574493,서울독립문초등학교,390,독립문역 3호선,284,GS더프레시 무악현대점,329,HDC현대산업개발,11110120090893,17,15
평동,경희궁자이(3단지),17,233,84.836,"185,000",2017,2021,37.5686050,126.9660555,서울금화초등학교,266,서대문역 5호선,320,하나로마트 서대문점,349,GS건설,11110120348219,8,20
무악동,인왕산아이파크,8,60,84.858,"139,800",2008,2021,37.5770089,126.9574493,서울독립문초등학교,390,독립문역 3호선,284,GS더프레시 무악현대점,329,HDC현대산업개발,11110120090893,17,15
사직동,광화문스페이스본(101동~105동),5,9,95.88,"134,000",2008,2021,37.5744263,126.9689015,서울매동초등학교,390,경복궁역 3호선,450,서서울농협하나로마트 사직점,101,풍림산업,11110120085968,5,14
