법정동,단지명,floor,지번,area,transaction_price,construction_year,위도,경도,가장 가까운 학교,school_distance,가장 가까운 역,subway_distance,가장 가까운 마트,mart_distance,construction_company,단지 고유번호,number_of_buildings,total_floors
평동,경희궁자이(3단지),16,233,84.836,"141,000",2017,37.568605,126.9660555,서울금화초등학교,266,서대문역 5호선,320,하나로마트 서대문점,349,GS건설,1.11101E+13,8,20
평동,경희궁자이(3단지),14,233,84.836,"148,000",2017,37.568605,126.9660555,서울금화초등학교,266,서대문역 5호선,320,하나로마트 서대문점,349,GS건설,1.11101E+13,8,20
평동,경희궁자이(3단지),1,233,84.836,"151,500",2017,37.568605,126.9660555,서울금화초등학교,266,서대문역 5호선,320,하나로마트 서대문점,349,GS건설,1.11101E+13,8,20
평동,경희궁자이(3단지),15,233,77.654,"154,000",2017,37.568605,126.9660555,서울금화초등학교,266,서대문역 5호선,320,하나로마트 서대문점,349,GS건설,1.11101E+13,8,20
평동,경희궁자이(3단지),6,233,84.836,"165,500",2017,37.568605,126.9660555,서울금화초등학교,266,서대문역 5호선,320,하나로마트 서대문점,349,GS건설,1.11101E+13,8,20
평동,경희궁자이(3단지),11,233,84.944,"177,500",2017,37.568605,126.9660555,서울금화초등학교,266,서대문역 5호선,320,하나로마트 서대문점,349,GS건설,1.11101E+13,8,20
평동,경희궁자이(3단지),6,233,84.836,"180,000",2017,37.568605,126.9660555,서울금화초등학교,266,서대문역 5호선,320,하나로마트 서대문점,349,GS건설,1.11101E+13,8,20
평동,경희궁자이(3단지),9,233,84.836,"183,000",2017,37.568605,126.9660555,서울금화초등학교,266,서대문역 5호선,320,하나로마트 서대문점,349,GS건설,1.11101E+13,8,20
평동,경희궁자이(3단지),17,233,84.836,"185,000",2017,37.568605,126.9660555,서울금화초등학교,266,서대문역 5호선,320,하나로마트 서대문점,349,GS건설,1.11101E+13,8,20
평동,경희궁자이(3단지),16,233,84.836,"197,000",2017,37.568605,126.9660555,서울금화초등학교,266,서대문역 5호선,320,하나로마트 서대문점,349,GS건설,1.11101E+13,8,20
평동,경희궁자이(3단지),6,233,84.8359,"209,000",2017,37.568605,126.9660555,서울금화초등학교,266,서대문역 5호선,320,하나로마트 서대문점,349,GS건설,1.11101E+13,8,20
청운동,청운현대,3,56-45,84.51,"85,000",2000,37.586219,126.9673962,서울청운초등학교,170,,,,,현대건설,1.11101E+13,4,5
청운동,청운현대,3,56-45,84.51,"89,500",2000,37.586219,126.9673962,서울청운초등학교,170,,,,,현대건설,1.11101E+13,4,5
창신동,동대문,3,328-17,28.8,"29,000",1966,37.5722773,127.0151913,오디세이학교,267,동묘앞역 6호선,48,홈플러스익스프레스 숭인점,168,LH,1.11101E+13,1,6
창신동,동대문,5,328-17,28.8,"29,200",1966,37.5722773,127.0151913,오디세이학교,267,동묘앞역 6호선,48,홈플러스익스프레스 숭인점,168,LH,1.11101E+13,1,6
창신동,창신쌍용2,4,703,79.87,"53,500",1993,37.5803309,127.0117946,서일문화예술고등학교,136,창신역 6호선,325,GS더프레시 성북보문점,638,알 수 없음,1.11101E+13,7,13
창신동,성용,2,640-252,58.23,"26,800",1994,37.5751211,127.009528,서울창신초등학교,432,동대문역 1호선,395,홈플러스익스프레스 숭인점,574,알 수 없음,1.11101E+13,1,6
창신동,MID그린(3동),2,601-2,58.91,"25,400",2002,37.5779576,127.0100244,서일문화예술고등학교,291,창신역 6호선,492,롯데슈퍼프레시 대학로점,616,알 수 없음,1.11101E+13,1,8
