법정동,단지명,floor,지번,area,transaction_price,construction_year,deal_year,위도,경도,가장 가까운 학교,school_distance,가장 가까운 역,subway_distance,가장 가까운 마트,mart_distance,construction_company,단지 고유번호,number_of_buildings,total_floors
무악동,인왕산아이파크,7,60,84.858,"129,500",2008,2023,37.5770089,126.9574493,서울독립문초등학교,390,독립문역 3호선,284,GS더프레시 무악현대점,329,HDC현대산업개발,1.11E+13,17,15
무악동,인왕산아이파크,13,60,84.858,"130,000",2008,2021,37.5770089,126.9574493,서울독립문초등학교,390,독립문역 3호선,284,GS더프레시 무악현대점,329,HDC현대산업개발,1.11E+13,17,15
무악동,인왕산아이파크,14,60,84.858,"133,000",2008,2021,37.5770089,126.9574493,서울독립문초등학교,390,독립문역 3호선,284,GS더프레시 무악현대점,329,HDC현대산업개발,1.11E+13,17,15
무악동,인왕산아이파크,3,60,84.858,"134,500",2008,2022,37.5770089,126.9574493,서울독립문초등학교,390,독립문역 3호선,284,GS더프레시 무악현대점,329,HDC현대산업개발,1.11E+13,17,15
무악동,인왕산아이파크,8,60,84.858,"135,000",2008,2022,37.5770089,126.9574493,서울독립문초등학교,390,독립문역 3호선,284,GS더프레시 무악현대점,329,HDC현대산업개발,1.11E+13,17,15
무악동,인왕산아이파크,2,60,114.931,"137,500",2008,2021,37.5770089,126.9574493,서울독립문초등학교,390,독립문역 3호선,284,GS더프레시 무악현대점,329,HDC현대산업개발,1.11E+13,17,15
무악동,인왕산아이파크,8,60,84.858,"139,800",2008,2021,37.5770089,126.9574493,서울독립문초등학교,390,독립문역 3호선,284,GS더프레시 무악현대점,329,HDC현대산업개발,1.11E+13,17,15
무악동,인왕산아이파크,11,60,114.931,"140,000",2008,2021,37.5770089,126.9574493,서울독립문초등학교,390,독립문역 3호선,284,GS더프레시 무악현대점,329,HDC현대산업개발,1.11E+13,17,15
무악동,인왕산아이파크,13,60,84.858,"144,000",2008,2021,37.5770089,126.9574493,서울독립문초등학교,390,독립문역 3호선,284,GS더프레시 무악현대점,329,HDC현대산업개발,1.11E+13,17,15
무악동,인왕산아이파크,11,60,84.858,"150,000",2008,2023,37.5770089,126.9574493,서울독립문초등학교,390,독립문역 3호선,284,GS더프레시 무악현대점,329,HDC현대산업개발,1.11E+13,17,15
무악동,인왕산아이파크,16,60,114.931,"155,500",2008,2023,37.5770089,126.9574493,서울독립문초등학교,390,독립문역 3호선,284,GS더프레시 무악현대점,329,HDC현대산업개발,1.11E+13,17,15
무악동,인왕산아이파크,9,60,114.931,"164,500",2008,2021,37.5770089,126.9574493,서울독립문초등학교,390,독립문역 3호선,284,GS더프레시 무악현대점,329,HDC현대산업개발,1.11E+13,17,15
무악동,인왕산아이파크,15,60,157.289,"241,000",2008,2022,37.5770089,126.9574493,서울독립문초등학교,390,독립문역 3호선,284,GS더프레시 무악현대점,329,HDC현대산업개발,1.11E+13,17,15
무악동,경희궁롯데캐슬,2,89,59.6737,"110,000",2019,2022,37.5738242,126.9593223,서울독립문초등학교,99,독립문역 3호선,143,GS더프레시 무악현대점,61,롯데건설,1.11E+13,4,15
무악동,경희궁롯데캐슬,15,89,59.6737,"118,000",2019,2023,37.5738242,126.9593223,서울독립문초등학교,99,독립문역 3호선,143,GS더프레시 무악현대점,61,롯데건설,1.11E+13,4,15
무악동,경희궁롯데캐슬,9,89,59.6737,"128,000",2019,2023,37.5738242,126.9593223,서울독립문초등학교,99,독립문역 3호선,143,GS더프레시 무악현대점,61,롯데건설,1.11E+13,4,15
무악동,경희궁롯데캐슬,14,89,84.8792,"147,500",2019,2023,37.5738242,126.9593223,서울독립문초등학교,99,독립문역 3호선,143,GS더프레시 무악현대점,61,롯데건설,1.11E+13,4,15
무악동,경희궁롯데캐슬,14,89,84.8792,"150,000",2019,2023,37.5738242,126.9593223,서울독립문초등학교,99,독립문역 3호선,143,GS더프레시 무악현대점,61,롯데건설,1.11E+13,4,15
무악동,경희궁롯데캐슬,1,89,84.8792,"151,000",2019,2021,37.5738242,126.9593223,서울독립문초등학교,99,독립문역 3호선,143,GS더프레시 무악현대점,61,롯데건설,1.11E+13,4,15
무악동,경희궁롯데캐슬,10,89,104.445,"170,000",2019,2023,37.5738242,126.9593223,서울독립문초등학교,99,독립문역 3호선,143,GS더프레시 무악현대점,61,롯데건설,1.11E+13,4,15
무악동,현대,2,82,60,"70,000",2000,2023,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,1.11E+13,12,13
무악동,현대,12,82,60,"72,900",2000,2023,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,1.11E+13,12,13
무악동,현대,13,82,60,"75,000",2000,2022,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,1.11E+13,12,13
무악동,현대,3,82,60,"79,900",2000,2023,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,1.11E+13,12,13
무악동,현대,14,82,60,"82,800",2000,2023,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,1.11E+13,12,13
무악동,현대,1,82,60,"86,500",2000,2021,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,1.11E+13,12,13
무악동,현대,6,82,60,"94,490",2000,2021,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,1.11E+13,12,13
무악동,현대,5,82,60,"98,950",2000,2021,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,1.11E+13,12,13
무악동,현대,6,82,84.92,"99,960",2000,2023,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,1.11E+13,12,13
무악동,현대,6,82,60,"103,000",2000,2022,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,1.11E+13,12,13
무악동,현대,6,82,60,"103,000",2000,2022,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,1.11E+13,12,13
무악동,현대,9,82,84.92,"105,950",2000,2023,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,1.11E+13,12,13
무악동,현대,9,82,84.92,"105,950",2000,2023,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,1.11E+13,12,13
