법정동,단지명,floor,지번,area,transaction_price,construction_year,deal_year,위도,경도,가장 가까운 학교,school_distance,가장 가까운 역,subway_distance,가장 가까운 마트,mart_distance,construction_company,단지 고유번호,number_of_buildings,total_floors
창신동,창신쌍용1,5,702,54.7,"31,000",1992,2020,37.5805198,127.0140202,서울명신초등학교,128,창신역 6호선,166,GS더프레시 성북보문점,442,알 수 없음,11110100000039,5,14
평창동,삼성,6,596,84.93,"53,000",1998,2020,37.6109361,126.9786911,,,,,GS더프레시 종로평창점,979,알 수 없음,11110100000077,2,15
사직동,광화문스페이스본(106동),2,9-1,163.33,"162,000",2008,2020,37.5735582,126.9677738,서울매동초등학교,449,경복궁역 3호선,579,서서울농협하나로마트 사직점,233,풍림산업,11110120085969,1,13
명륜3가,한빛,4,1-30,59.73,"34,500",1999,2020,37.5894209,126.9949159,성균관대학교 인문사회과학캠퍼스,148,한성대입구역 4호선,986,홈플러스익스프레스 명륜점,504,알 수 없음,11110100000028,1,7
창신동,창신쌍용1,1,702,106.62,"68,500",1992,2020,37.5805198,127.0140202,서울명신초등학교,128,창신역 6호선,166,GS더프레시 성북보문점,442,알 수 없음,11110100000039,5,14
창신동,덕산,3,639-50,59.28,"25,500",1999,2020,37.5761168,127.0099201,서울창신초등학교,386,동대문역 1호선,497,홈플러스익스프레스 숭인점,582,알 수 없음,11110100000030,1,6
무악동,현대,3,82,60,"79,000",2000,2020,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,11110100000094,12,13
숭인동,종로센트레빌,11,2-1,84.92,"84,500",2008,2020,37.5809832,127.0159311,서울명신초등학교,165,창신역 6호선,182,GS더프레시 성북보문점,282,동부건설,11110120096301,6,12
창신동,덕산,2,639-50,59.22,"33,000",1999,2020,37.5761168,127.0099201,서울창신초등학교,386,동대문역 1호선,497,홈플러스익스프레스 숭인점,582,알 수 없음,11110100000030,1,6
인의동,효성쥬얼리시티,11,48-2,106.81,"84,800",2006,2020,37.5714980,126.9986561,서울효제초등학교,431,종로5가역 1호선,261,노브랜드 동대문두타몰점,939,효성건설,11110120056290,1,19
평창동,삼성,12,596,59.97,"39,000",1998,2020,37.6109361,126.9786911,,,,,GS더프레시 종로평창점,979,알 수 없음,11110100000077,2,15
사직동,광화문스페이스본(101동~105동),4,9,70.8,"98,000",2008,2020,37.5744263,126.9689015,서울매동초등학교,390,경복궁역 3호선,450,서서울농협하나로마트 사직점,101,풍림산업,11110120085968,5,14
창신동,MID그린(8동),4,602-1,59.94,"28,000",2002,2020,37.5773580,127.0099110,서일문화예술고등학교,340,창신역 6호선,527,롯데슈퍼프레시 대학로점,647,알 수 없음,11110100000045,1,7
사직동,광화문스페이스본(101동~105동),3,9,94.51,"115,000",2008,2020,37.5744263,126.9689015,서울매동초등학교,390,경복궁역 3호선,450,서서울농협하나로마트 사직점,101,풍림산업,11110120085968,5,14
평창동,롯데낙천대,9,72,110.53,"79,000",2001,2020,37.6091348,126.9756964,서울예술고등학교,720,,,GS더프레시 종로평창점,654,알 수 없음,11110100000075,3,14
평창동,삼성,2,596,84.93,"49,800",1998,2020,37.6109361,126.9786911,,,,,GS더프레시 종로평창점,979,알 수 없음,11110100000077,2,15
무악동,현대,11,82,84.92,"94,990",2000,2020,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,11110100000094,12,13
평창동,형우럭스빌(33-1),6,33-1,128.26,"70,000",2005,2020,37.6075762,126.9733935,서울예술고등학교,456,,,GS더프레시 종로평창점,406,알 수 없음,11110120000121,1,6
무악동,현대,2,82,60,"66,000",2000,2020,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,11110100000094,12,13
내수동,세종로대우,12,167,66.96,"61,500",1994,2020,37.5727874,126.9732496,서울덕수초등학교,475,광화문역 5호선,307,홈플러스익스프레스 광화문점,280,알 수 없음,11110100000014,1,15
무악동,현대,10,82,60,"70,910",2000,2020,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,11110100000094,12,13
청운동,청운현대,3,56-45,84.51,"85,000",2000,2020,37.5862190,126.9673962,서울청운초등학교,170,,,,,현대건설,11110100000004,4,5
숭인동,숭인상가,5,204-11,78.75,"41,000",1979,2020,37.5721394,127.0205709,서울다솜관광고등학교,208,동묘앞역 1호선,390,이마트 청계천점,139,알 수 없음,11110100000052,1,8
평창동,삼성,11,596,59.97,"44,000",1998,2020,37.6109361,126.9786911,,,,,GS더프레시 종로평창점,979,알 수 없음,11110100000077,2,15
평창동,엘리시아,5,66-1,200.19,"75,110",2009,2020,37.6096834,126.9759355,서울예술고등학교,772,,,GS더프레시 종로평창점,699,알 수 없음,11110120125020,1,5
숭인동,삼전솔하임4차,10,318-2,15.09,"12,500",2014,2020,37.5713352,127.0167111,오디세이학교,147,동묘앞역 6호선,127,홈플러스익스프레스 숭인점,277,삼전건설,11110120290673,1,17
숭인동,종로센트레빌,6,2-1,59.92,"72,400",2008,2020,37.5809832,127.0159311,서울명신초등학교,165,창신역 6호선,182,GS더프레시 성북보문점,282,동부건설,11110120096301,6,12
숭인동,종로센트레빌,5,2-1,84.92,"88,000",2008,2020,37.5809832,127.0159311,서울명신초등학교,165,창신역 6호선,182,GS더프레시 성북보문점,282,동부건설,11110120096301,6,12
창신동,창신쌍용2,4,703,79.87,"57,300",1993,2020,37.5803309,127.0117946,서일문화예술고등학교,136,창신역 6호선,325,GS더프레시 성북보문점,638,알 수 없음,11110100050202,7,13
숭인동,숭인상가,4,204-11,78.75,"38,500",1979,2020,37.5721394,127.0205709,서울다솜관광고등학교,208,동묘앞역 1호선,390,이마트 청계천점,139,알 수 없음,11110100000052,1,8
평창동,밀레니엄,2,179-5,84.41,"59,900",2017,2020,37.6070020,126.9676054,서울예술고등학교,197,,,GS더프레시 종로평창점,118,알 수 없음,11110120141908,1,5
당주동,롯데미도파광화문빌딩,8,145,65.79,"50,200",1981,2020,37.5713770,126.9737006,서울덕수초등학교,314,광화문역 5호선,242,홈플러스익스프레스 광화문점,132,알 수 없음,11110100000012,1,10
효제동,포레스트힐시티,6,65-2,20.3861,"22,500",2017,2020,37.5742239,127.0018283,서울효제초등학교,160,종로5가역 1호선,361,롯데슈퍼프레시 대학로점,780,알 수 없음,11110120347328,1,14
창신동,일우,4,602,59.3,"31,000",2002,2020,37.5773402,127.0096976,서일문화예술고등학교,355,창신역 6호선,545,롯데슈퍼프레시 대학로점,634,알 수 없음,11110100248208,1,6
사직동,광화문스페이스본(101동~105동),14,9,145.53,"145,000",2008,2020,37.5744263,126.9689015,서울매동초등학교,390,경복궁역 3호선,450,서서울농협하나로마트 사직점,101,풍림산업,11110120085968,5,14
인의동,효성쥬얼리시티,10,48-2,84.64,"66,500",2006,2020,37.5714980,126.9986561,서울효제초등학교,431,종로5가역 1호선,261,노브랜드 동대문두타몰점,939,효성건설,11110120056290,1,19
창신동,두산,5,232,59.95,"62,300",1999,2020,37.5742210,127.0142935,서울창신초등학교,198,동묘앞역 1호선,214,홈플러스익스프레스 숭인점,143,알 수 없음,11110100000035,3,23
평창동,삼성,7,596,59.97,"44,000",1998,2020,37.6109361,126.9786911,,,,,GS더프레시 종로평창점,979,알 수 없음,11110100000077,2,15
평창동,삼성,9,596,59.97,"42,900",1998,2020,37.6109361,126.9786911,,,,,GS더프레시 종로평창점,979,알 수 없음,11110100000077,2,15
창신동,브라운스톤창신,14,23-76,84.67,"69,700",2006,2020,37.5773845,127.0150474,서울창신초등학교,165,창신역 6호선,226,홈플러스익스프레스 숭인점,411,알 수 없음,11110120055043,1,15
사직동,광화문스페이스본(101동~105동),4,9,94.51,"114,000",2008,2020,37.5744263,126.9689015,서울매동초등학교,390,경복궁역 3호선,450,서서울농협하나로마트 사직점,101,풍림산업,11110120085968,5,14
숭인동,종로센트레빌,11,2-1,59.92,"71,500",2008,2020,37.5809832,127.0159311,서울명신초등학교,165,창신역 6호선,182,GS더프레시 성북보문점,282,동부건설,11110120096301,6,12
창신동,창신쌍용1,6,702,54.7,"52,600",1992,2020,37.5805198,127.0140202,서울명신초등학교,128,창신역 6호선,166,GS더프레시 성북보문점,442,알 수 없음,11110100000039,5,14
무악동,현대,7,82,60,"72,000",2000,2020,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,11110100000094,12,13
홍파동,경희궁자이(2단지),14,199,84.99,"155,000",2017,2020,37.5708395,126.9635590,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,11110120348218,14,21
무악동,인왕산아이파크,13,60,84.858,"118,500",2008,2020,37.5770089,126.9574493,서울독립문초등학교,390,독립문역 3호선,284,GS더프레시 무악현대점,329,HDC현대산업개발,11110120090893,17,15
평창동,삼성,14,596,59.97,"42,800",1998,2020,37.6109361,126.9786911,,,,,GS더프레시 종로평창점,979,알 수 없음,11110100000077,2,15
평창동,롯데낙천대,5,72,110.53,"85,000",2001,2020,37.6091348,126.9756964,서울예술고등학교,720,,,GS더프레시 종로평창점,654,알 수 없음,11110100000075,3,14
무악동,현대,12,82,60,"72,990",2000,2020,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,11110100000094,12,13
평동,경희궁자이(3단지),15,233,77.654,"154,000",2017,2020,37.5686050,126.9660555,서울금화초등학교,266,서대문역 5호선,320,하나로마트 서대문점,349,GS건설,11110120348219,8,20
평창동,엘리시아,5,66-1,200.19,"80,000",2009,2020,37.6096834,126.9759355,서울예술고등학교,772,,,GS더프레시 종로평창점,699,알 수 없음,11110120125020,1,5
평창동,엘리시아,3,66-1,200.19,"85,000",2009,2020,37.6096834,126.9759355,서울예술고등학교,772,,,GS더프레시 종로평창점,699,알 수 없음,11110120125020,1,5
무악동,현대,4,82,114.9,"110,900",2000,2020,37.5753907,126.9608065,서울독립문초등학교,129,독립문역 3호선,274,GS더프레시 무악현대점,189,현대건설,11110100000094,12,13
신교동,신현(102동),5,6-11,134.66,"100,000",2002,2020,37.5834330,126.9681563,서울청운초등학교,298,경복궁역 3호선,977,서서울농협하나로마트 사직점,982,알 수 없음,11110100053621,1,5
인의동,효성쥬얼리시티,19,48-2,169.86,"124,000",2006,2020,37.5714980,126.9986561,서울효제초등학교,431,종로5가역 1호선,261,노브랜드 동대문두타몰점,939,효성건설,11110120056290,1,19
무악동,인왕산아이파크,9,60,84.858,"120,000",2008,2020,37.5770089,126.9574493,서울독립문초등학교,390,독립문역 3호선,284,GS더프레시 무악현대점,329,HDC현대산업개발,11110120090893,17,15
사직동,광화문스페이스본(101동~105동),14,9,94.51,"130,000",2008,2020,37.5744263,126.9689015,서울매동초등학교,390,경복궁역 3호선,450,서서울농협하나로마트 사직점,101,풍림산업,11110120085968,5,14
홍파동,경희궁자이(2단지),19,199,84.907,"162,500",2017,2020,37.5708395,126.9635590,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,11110120348218,14,21
홍파동,경희궁자이(2단지),4,199,84.99,"160,000",2017,2020,37.5708395,126.9635590,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,11110120348218,14,21
홍파동,경희궁자이(2단지),7,199,84.614,"172,000",2017,2020,37.5708395,126.9635590,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,11110120348218,14,21
무악동,인왕산아이파크,9,60,84.858,"123,000",2008,2020,37.5770089,126.9574493,서울독립문초등학교,390,독립문역 3호선,284,GS더프레시 무악현대점,329,HDC현대산업개발,11110120090893,17,15
청운동,청운현대,3,56-45,84.51,"89,500",2000,2020,37.5862190,126.9673962,서울청운초등학교,170,,,,,현대건설,11110100000004,4,5
숭인동,종로청계힐스테이트,10,766,59.9426,"78,200",2009,2020,37.5760349,127.0211589,서울장로회신학,189,신설동역 우이신설선,189,GS더프레시 성북보문점,516,현대건설,11110120113622,6,13
명륜2가,명륜동주상복합아남아파트,7,237,172.17,"149,900",1999,2020,37.5856190,127.0002684,동성중학교,203,혜화역 4호선,423,홈플러스익스프레스 명륜2점,47,알 수 없음,11110100000027,1,8
숭인동,종로청계힐스테이트,13,766,84.9478,"95,000",2009,2020,37.5760349,127.0211589,서울장로회신학,189,신설동역 우이신설선,189,GS더프레시 성북보문점,516,현대건설,11110120113622,6,13
사직동,광화문스페이스본(101동~105동),12,9,121.37,"149,500",2008,2020,37.5744263,126.9689015,서울매동초등학교,390,경복궁역 3호선,450,서서울농협하나로마트 사직점,101,풍림산업,11110120085968,5,14
창신동,창신쌍용1,11,702,54.7,"55,000",1992,2020,37.5805198,127.0140202,서울명신초등학교,128,창신역 6호선,166,GS더프레시 성북보문점,442,알 수 없음,11110100000039,5,14
무악동,인왕산아이파크,14,60,84.858,"120,700",2008,2020,37.5770089,126.9574493,서울독립문초등학교,390,독립문역 3호선,284,GS더프레시 무악현대점,329,HDC현대산업개발,11110120090893,17,15
평동,경희궁자이(3단지),6,233,84.836,"165,500",2017,2020,37.5686050,126.9660555,서울금화초등학교,266,서대문역 5호선,320,하나로마트 서대문점,349,GS건설,11110120348219,8,20
인의동,효성쥬얼리시티,9,48-2,106.81,"84,500",2006,2020,37.5714980,126.9986561,서울효제초등학교,431,종로5가역 1호선,261,노브랜드 동대문두타몰점,939,효성건설,11110120056290,1,19
홍파동,경희궁자이(2단지),8,199,84.836,"170,000",2017,2020,37.5708395,126.9635590,서울금화초등학교,226,서대문역 5호선,626,풍기인삼농협 하나로미니 독립문점,82,GS건설,11110120348218,14,21
평창동,크래스빌,1,46-1,187.9,"90,000",2003,2020,37.6085184,126.9742830,서울예술고등학교,578,,,GS더프레시 종로평창점,512,금화이앤씨,11110100051187,1,5
평창동,삼성,3,596,84.93,"59,000",1998,2020,37.6109361,126.9786911,,,,,GS더프레시 종로평창점,979,알 수 없음,11110100000077,2,15
창신동,동대문,2,328-17,28.8,"42,000",1966,2020,37.5722773,127.0151913,오디세이학교,267,동묘앞역 6호선,48,홈플러스익스프레스 숭인점,168,LH,11110100000031,1,6
창신동,창신쌍용2,2,703,54.7,"58,500",1993,2020,37.5803309,127.0117946,서일문화예술고등학교,136,창신역 6호선,325,GS더프레시 성북보문점,638,알 수 없음,11110100050202,7,13
창신동,창신이수,7,23-816,120.84,"88,700",2003,2020,37.5779990,127.0147048,서울창신초등학교,223,창신역 6호선,165,GS더프레시 성북보문점,463,알 수 없음,11110100000044,1,19
